openmlid,algorithm,algorithmoptions,numinstances,numattributes,numattributesafterbinarization,trainpoints,numinstances_sub,numattributes_sub,builds,predictioncalls_training,predictioncalls_prediction
6,adaboostm1,-P 70 -I 5,20000,16,16,10000,10000,16,5,10000,10000
6,adaboostm1,-P 90 -I 5,20000,16,16,10000,10000,16,5,10000,10000
6,adaboostm1,-P 80 -I 5,20000,16,16,10000,10000,16,5,10000,10000
21,adaboostm1,-P 90 -I 5,1728,6,21,1000,1000,6,5,1000,728
18,adaboostm1,-P 90 -I 5,2000,6,6,1000,1000,6,5,1000,1000
18,adaboostm1,-P 80 -I 5,2000,6,6,1000,1000,6,5,1000,1000
22,adaboostm1,-P 90 -I 5,2000,47,47,1000,1000,47,5,1000,1000
3,adaboostm1,-Q -P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
6,adaboostm1,-Q -P 95 -I 5,20000,16,16,10000,10000,16,5,10000,10000
12,adaboostm1,-Q -P 95 -I 5,2000,216,216,1000,1000,216,5,1000,1000
14,adaboostm1,-Q -P 95 -I 5,2000,76,76,1000,1000,76,5,1000,1000
6,adaboostm1,-Q -P 80 -I 5,20000,16,16,10000,10000,16,5,10000,10000
21,adaboostm1,-Q -P 95 -I 5,1728,6,21,1000,1000,6,5,1000,728
18,adaboostm1,-Q -P 95 -I 5,2000,6,6,1000,1000,6,5,1000,1000
3,adaboostm1,-P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
22,adaboostm1,-Q -P 95 -I 5,2000,47,47,1000,1000,47,5,1000,1000
6,adaboostm1,-Q -P 90 -I 5,20000,16,16,10000,10000,16,5,10000,10000
6,adaboostm1,-P 95 -I 5,20000,16,16,10000,10000,16,5,10000,10000
12,adaboostm1,-P 95 -I 5,2000,216,216,1000,1000,216,5,1000,1000
14,adaboostm1,-P 95 -I 5,2000,76,76,1000,1000,76,5,1000,1000
16,adaboostm1,-P 95 -I 5,2000,64,64,1000,1000,64,5,1000,1000
21,adaboostm1,-Q -P 90 -I 5,1728,6,21,1000,1000,6,5,1000,728
18,adaboostm1,-Q -P 90 -I 5,2000,6,6,1000,1000,6,5,1000,1000
18,adaboostm1,-P 95 -I 5,2000,6,6,1000,1000,6,5,1000,1000
21,adaboostm1,-P 95 -I 5,1728,6,21,1000,1000,6,5,1000,728
22,adaboostm1,-P 95 -I 5,2000,47,47,1000,1000,47,5,1000,1000
6,adaboostm1,-P 70 -I 5,20000,16,16,1000,1000,16,5,1000,19000
6,adaboostm1,-P 60 -I 5,20000,16,16,10000,10000,16,5,10000,10000
6,adaboostm1,-P 90 -I 5,20000,16,16,1000,1000,16,5,1000,19000
6,adaboostm1,-P 80 -I 5,20000,16,16,1000,1000,16,5,1000,19000
18,adaboostm1,-P 70 -I 5,2000,6,6,1000,1000,6,5,1000,1000
14,adaboostm1,-P 90 -I 5,2000,76,76,1000,1000,76,5,1000,1000
22,adaboostm1,-P 70 -I 5,2000,47,47,1000,1000,47,5,1000,1000
23,adaboostm1,-P 70 -I 5,1473,9,21,1000,1000,9,5,1000,473
23,adaboostm1,-P 60 -I 5,1473,9,21,1000,1000,9,5,1000,473
22,adaboostm1,-P 80 -I 5,2000,47,47,1000,1000,47,5,1000,1000
23,adaboostm1,-P 90 -I 5,1473,9,21,1000,1000,9,5,1000,473
23,adaboostm1,-P 80 -I 5,1473,9,21,1000,1000,9,5,1000,473
16,adaboostm1,-Q -P 95 -I 5,2000,64,64,1000,1000,64,5,1000,1000
6,adaboostm1,-P 95 -I 5,20000,16,16,1000,1000,16,5,1000,19000
14,adaboostm1,-Q -P 90 -I 5,2000,76,76,1000,1000,76,5,1000,1000
24,adaboostm1,-Q -P 95 -I 5,8124,22,121,1000,1000,22,5,1000,7124
22,adaboostm1,-Q -P 80 -I 5,2000,47,47,1000,1000,47,5,1000,1000
22,adaboostm1,-Q -P 90 -I 5,2000,47,47,1000,1000,47,5,1000,1000
23,adaboostm1,-P 95 -I 5,1473,9,21,1000,1000,9,5,1000,473
3,adaboostm1,-P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
6,adaboostm1,-Q -P 95 -I 5,20000,16,16,1000,1000,16,5,1000,19000
3,adaboostm1,-Q -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
6,adaboostm1,-Q -P 90 -I 5,20000,16,16,1000,1000,16,5,1000,19000
23,adaboostm1,-Q -P 95 -I 5,1473,9,21,1000,1000,9,5,1000,473
18,adaboostm1,-Q -P 80 -I 5,2000,6,6,1000,1000,6,5,1000,1000
23,adaboostm1,-P 95 -I 20,1473,9,21,1000,1000,9,20,1000,473
3,bagging,-P 70 -I 50,3196,36,40,1000,700,36,50,0,2196
3,bagging,-P 95 -I 20,3196,36,40,1000,950,36,20,0,2196
6,bagging,-P 70 -I 50,20000,16,16,1000,700,16,50,0,19000
6,bagging,-P 95 -I 20,20000,16,16,1000,950,16,20,0,19000
3,bagging,-P 60 -I 50,3196,36,40,1000,600,36,50,0,2196
12,bagging,-P 70 -I 50,2000,216,216,1000,700,216,50,0,1000
6,bagging,-P 70 -I 50,20000,16,16,10000,7000,16,50,0,10000
14,bagging,-P 70 -I 50,2000,76,76,1000,700,76,50,0,1000
12,bagging,-P 95 -I 20,2000,216,216,1000,950,216,20,0,1000
3,bagging,-P 90 -I 50,3196,36,40,1000,900,36,50,0,2196
6,bagging,-P 60 -I 50,20000,16,16,1000,600,16,50,0,19000
6,bagging,-P 95 -I 20,20000,16,16,10000,9500,16,20,0,10000
14,bagging,-P 95 -I 20,2000,76,76,1000,950,76,20,0,1000
16,bagging,-P 70 -I 50,2000,64,64,1000,700,64,50,0,1000
12,bagging,-P 60 -I 50,2000,216,216,1000,600,216,50,0,1000
3,bagging,-P 80 -I 50,3196,36,40,1000,800,36,50,0,2196
6,bagging,-P 90 -I 50,20000,16,16,1000,900,16,50,0,19000
6,bagging,-P 60 -I 50,20000,16,16,10000,6000,16,50,0,10000
14,bagging,-P 60 -I 50,2000,76,76,1000,600,76,50,0,1000
6,bagging,-P 90 -I 50,20000,16,16,10000,9000,16,50,0,10000
16,bagging,-P 95 -I 20,2000,64,64,1000,950,64,20,0,1000
12,bagging,-P 90 -I 50,2000,216,216,1000,900,216,50,0,1000
18,bagging,-P 70 -I 50,2000,6,6,1000,700,6,50,0,1000
6,bagging,-P 80 -I 50,20000,16,16,1000,800,16,50,0,19000
